code,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
WD116,General Nursing,413 ,430,422,,,,,446,
WD117,Psychiatric Nursing,361 ,382,366,,,,,415,
WD120,Intellectual Disability Nursing,338 ,359,377,,,,,390,
WD134,International Business,289 ,350,290,,,,,267,
WD137,Design (Visual Communications),253 ,373,271,,,,,252,
WD140,Laws,290 ,352,280,,,,,280,
WD144,Architecture,283 ,385,284,,,,,309,
WD147,Pharmaceutical Science,298 ,363,293,,,,,288,
WD150,Criminal Justice Studies,271 ,311,270,,,,,280,
WD152,Visual Art,253 ,323,AQA,,,,,243,
WD161,Computer Forensics and Security,262 ,401,255,,,,,270,
WD162,Quantity Surveying,260 ,320,216,,,,,226,
WD163,Psychology,390 ,429,434,,,,,456,
WD186,Sports Coaching and Performance,276 ,327,270,,,,,261,
WD187,Social Science,271 ,321,272,,,,,276,
WD191,Agricultural Science,378 ,421,377,,,,,377,
WD192,Social Care Practice,279 ,323,270,,,,,271,
WD193,Marketing and Digital Media,290 ,358,271,,,,,279,
WD194,Culinary Arts,235 ,331,217,,,,,237,
WD195,Architectural and Building Information Modelling T,266 ,305,279,,,,,279,
WD200,Arts (options),221 ,296,AQA,AQA,,,,201,201
WD210,Software Systems Development,271 ,329,279,,,,,260,
WD211,Creative Computing,275 ,322,271,,,,,270,
WD212,Recreation and Sport Management,274 ,311,270,,,,,262,
WD230,Mechanical and Manufacturing Engineering,273 ,348,253,,,,,230,230
WD231,Early Childhood Care and Education,,,,,,,,266,
WD232,Business Information Systems,,,,,,,,261,261
CR126,Popular Music: Drums at CIT Cork School of Music,#878 ,1043,801,,,,#,,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584 ,761,838,768,,,#,,
CR128,Popular Music: Keyboards at CIT Cork School of Music,#839 ,1009,840,,,,#,,
CR129,Popular Music: Voice at CIT Cork School of Music,#857 ,927,841,,,,#,,
DB516,Financial Services,328 ,336,,,,,,,
DC201,Common Entry into Science (Undenominated Entry),454 ,477,498,488,*,,,,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,,,,,,
DK860,Music (audition),#499 ,649,532,532,,,#,,
DL821,"English, Media and Cultural Studies",211 ,317,212,212,,,,,
DL828,"3D Design, Modelmaking and Digital Art",#691 ,866,506,,,,#,,
DL829,Design for Stage and Screen (Costume Design),#817 ,1021,593,,,,#,,
DL830,Design for Stage and Screen (Character Makeup Design),#879 ,953,939,,,,#,,
DL831,Design for Stage and Screen (Production Design),#893 ,1073,781,,,,#,,
DL834,Film and Television Production,#933 ,1011,990,,,,#,,
DN252,Dairy Business,398 ,428,410,,,,,,
DN253,Agri - Environmental Sciences,403 ,419,418,,,,,,
DN271,Forestry,303 ,361,311,,,,,,
DN272,"Horticulture, Landscape and Sportsturf Management",252 ,312,297,282,,,,,
GC250,Communications and Media Production,,,,,,,,,
GC305,International Hospitality Management,327 ,327,253,253,,,,,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330 ,397,409,,,,,,
GY112,Arts with Film Studies,338 ,370,321,,,,,,
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309 ,346,350,,,,,,
GY121,Arts (Children`s Studies),356 ,389,356,,,,,,
GY124,Arts (Arts with Data Science),434 ,466,454,,,,,,
GY126,Arts (English and Media Studies),418 ,451,391,,,,,,
GY131,Arts (History and Globalisation Studies),340 ,431,360,,,,,,
LC401,Early Childhood Education and Care,298 ,387,297,,,,,,
LC414,Data Analytics and Cyber Security,,,236,,,,,,
LC434,Environmental Science and Agriculture,278 ,347,297,,,,,,
LC613,Early Childhood Education and Care,346 ,388,242,,,,,,
MH405,Equine Business,357 ,398,357,,,,,,
SG142,Business in International Marketing and Languages (French),270 ,388,279,,,,,,
SG144,Business in International Marketing and Languages (Spanish),280 ,388,270,,,,,,
SG250,Application Design and User Experience,290 ,431,412,,,,,,
SG251,Computing (Smart Technologies),303 ,391,327,,,,,,
TR012,History and Political Science,532* ,557,555,554,,,,,
TR017,Law and Business,576 ,589,602,,,,,,
TR020,Law and Political Science,567 ,600,602,,,,,,
TR029,Political Science and Geography,477 ,500,526,520,,,,,
TR082,Computer Science and Business,510 ,542,555,,,,,,
TR083,Sociology and Social Policy,451 ,474,498,487,,,,,
TR111,Ancient History and Archaeology/Geography,,,352,,,,,,
TR112,Ancient History and Archaeology/History,,,529,,,,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,,,337,,,,,,
TR114,Ancient History and Archaeology/Modern Language,,,337,,,,,,
TR117,Ancient History and Archaeology/Religion,,,342,,,,,,
TR166,Classical Civilisation/English Literature,,,498,496,*,,,,
TR173,Classical Civilisation/History of Art and Architecture,,,335,,,,,,
TR177,Classical Civilisation/Modern Language,,,335,,,,,,
TR179,Classical Civilisation/Philosophy,,,499,,,,,,
TR198,Economics/Geography,,,534,,,,,,
TR202,Economics/History,,,534,,,,,,
TR207,Economics/Mathematics,,,566,,*,,,,
TR208,Economics/Modern Language,,,534,,,,,,
TR209,Economics/Philosophy,,,534,,,,,,
TR212,Economics/Sociology,,,534,,,,,,
TR228,Classical Languages/English Literature,,,498,,*,,,,
TR231,Classical Languages/History of Art and Architecture,,,349,,,,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349,,,,,,
TR239,Classical Languages/Modern Language,,,349,,,,,,
TR262,English Literature/History,,,529,,,,,,
TR263,English Literature/History of Art and Architecture,,,498,497,*,,,,
TR269,English Literature/Philosophy,,,499,,,,,,
TR272,English Literature/Sociology,,,498,,*,,,,
TR276,English Literature/Drama Studies,,,#498,,,,#,,
TR277,English Literature/Modern Language,,,498,495,*,,,,
TR311,Film/Drama Studies,,,#521,,*,,#,,
TR312,Film/English Literature,,,521,,*,,,,
TR320,Film/Music,,,521,,*,,#,,
TR322,Geography/History,,,529,,,,,,
TR323,Drama Studies/Modern Language,,,#473,,,,#,,
TR324,Film/Modern Language,,,521,,*,,,,
TR325,Film/History,,,529,,,,,,
TR326,Geography/Modern Language,,,352,,,,,,
TR332,Geography/Sociology,,,498,496,*,,,,
TR443,History/History of Art and Architecture,,,529,,,,,,
TR447,History/Modern Language,,,529,,,,,,
TR449,History/Philosophy,,,529,,,,,,
TR452,History/Sociology,,,529,,,,,,
TR454,History/Religion,,,529,,,,,,
TR455,History of Art and Architecture/Modern Language,,,334,,,,,,
TR479,History of Art and Architecture/Philosophy,,,499,,,,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337,,,,,,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335,,,,,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,529,,,,,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335,,,,,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,,#,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342,,,,,,
TR597,Mathematics/Modern Language,,,566,,*,,,,
TR598,Mathematics/Music,,,566,,*,,#,,
TR599,Mathematics/Philosophy,,,566,,*,,,,
TR629,Music/Philosophy,,,499,,,,#,,
TR635,Music/Drama Studies,,,#473,,,,#,,
TR636,Music/Modern Language,,,388,,,,#,,
TR638,Music/Religion,,,388,,,,#,,
TR639,Philosophy/Modern Language,,,499,,,,,,
TR662,Philosophy/Sociology,,,499,,,,,,
TR663,Religion/Classical Civilisation,,,342,,,,,,
TR664,Religion/English Literature,,,498,,*,,,,
TR665,Religion/History of Art and Architecture,,,342,,,,,,
TR666,Religion/Modern Language,,,,,,,,,
TR667,French/Modern Language,,,403,,,,,,
TR668,German/Modern Language,,,389,,,,,,
TR669,Irish/Modern Language,,,368,,,,,,
TR670,Italian/Modern Language,,,381,,,,,,
TR671,Russian/Modern Language,,,332,,,,,,
TR672,Spanish/Modern Language,,,336,,,,,,
TR755,Sociology/Drama Studies,,,#498,,,,#,,
TR756,Sociology/Modern Language,,,498,495,,,,,
TU803,Electronic Engineering,,,243,243,,,,,
TU806,Sustainable Energy Engineering,,,262,,,,,,
TU808,Engineering Software,,,260,260,,,,,
TU809,Mechanical Engineering,,,235,,,,,,
TU813,Automation Engineering,,,218,218,,,,,
TU873,Industrial Mathematics,,,250,250,,,,,
TU901,Business,,,270,,,,,,
TU908,Management,,,262,253,,,,,
TU909,Accounting and Finance,,,285,,,,,,
TU911,Accounting and Finance,,,209,192,,,,,
TU913,Business and Information Technology,,,252,,,,,,
TU915,International Business,,,252,,,,,,
TU916,International Business,,,235,235,,,,,
TU923,Marketing Management,,,228,276,,,,,
TU966,Languages and English Studies,,,366,,,,,,
TU971,Contemporary Visual Culture,,,290,,,,,,
TU972,Creative and Cultural Industries,,,281,,,,,,
TU986,Print Media Technology and Management,,,289,,,,,,
TU993,Early Childhood Care and Education,,,270,,,,,,
TU994,Early Childhood Care and Education,,,321,251,,,,,
WD149,Early Childhood Studies,288 ,336,271,,,,,,
AL853,Accounting and Law ,305 ,320,,,,,,,
CW178,Sport Science (options) ,399 ,424,,,,,,,
CK116,Sports Studies and Physical Education ,499 ,520,,,,,,,
CK502,Food Marketing and Entrepreneurship ,433 ,456,,,,,,,
CK506,International Development and Food Policy ,367 ,410,,,,,,,
DC005,Education - Primary Teaching - Irish Sign Language ,#316 ,316,,,,,,,
DC167,Physics with Astronomy ,434 ,477,,,,,,,
DC171,Applied Physics ,402 ,433,,,,,,,
DC173,Physics with Biomedical Sciences ,402 ,458,,,,,,,
DT001,Product Design ,433 ,464,,,,,,,
DT028,Transport Operations and Technology ,279 ,348,,,,,,,
DT035,Electrical Services and Energy Management ,293 ,340,,,,,,,
DT066,Engineering (General Entry) ,400 ,457,,,,,,,
DT101,Architecture (test and interview) ,#618 ,647,,,,,,,
DT106,Planning and Environmental Management ,312 ,337,,,,,,,
DT110,Property Economics (Valuation Surveying) ,367 ,424,,,,,,,
DT111,Quantity Surveying and Construction Economics ,391 ,421,,,,,,,
DT112,Geographic Science ,287 ,335,,,,,,,
DT117,Construction Management ,356 ,373,,,,,,,
DT175,Architectural Technology ,388 ,425,,,,,,,
DT201,Science (General Entry) ,464 ,477,,,,,,,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical) ,341 ,403,,,,,,,
DT204,Biomedical Science ,501 ,512,,,,,,,
DT205,Mathematical Sciences ,315 ,363,,,,,,,
DT206,Biomedical and Molecular Diagnostics ,473 ,487,,,,,,,
DT211,Computer Science (Infrastructure) ,381 ,414,,,,,,,
DT220,Industrial Mathematics ,300 ,317,,,,,,,
DT221,Physics with Energy and Environment ,348 ,436,,,,,,,
DT222,Physics Technology ,321 ,371,,,,,,,
DT223,Human Nutrition and Dietetics ,553 ,566,,,,,,,
DT224,Optometry ,487 ,529,,,,,,,
DT225,Public Health Nutrition ,440 ,476,,,,,,,
DT227,Science with Nanotechnology ,312 ,361,,,,,,,
DT228,Computer Science ,451 ,466,,,,,,,
DT229,Clinical Measurement Science ,491 ,509,,,,,,,
DT235,Physics with Medical Physics and Bioengineering ,357 ,403,,,,,,,
DT282,Computer Science (International) ,377 ,402,,,,,,,
DT299,Chemical Sciences with Medicinal Chemistry ,420 ,445,,,,,,,
DT302,Business Analytics ,325 ,403,,,,,,,
DT304,E-Commerce in Retailing ,341 ,388,,,,,,,
DT321,Business and Law ,462 ,478,,,,,,,
DT341,Marketing ,400 ,419,,,,,,,
DT343,Retail and Services Management ,301 ,332,,,,,,,
DT354,Business Computing ,322 ,341,,,,,,,
DT358,Logistics and Supply Chain Management ,300 ,359,,,,,,,
DT365,Business and Management ,440 ,456,,,,,,,
DT366,Accounting and Finance ,432 ,454,,,,,,,
DT398,Human Resource Management ,375 ,388,,,,,,,
DT399,Economics and Finance ,437 ,465,,,,,,,
DT401,International Hospitality Management ,300 ,337,,,,,,,
DT405,Culinary Science ,308 ,377,,,,,,,
DT407,Culinary Arts ,271 ,342,,,,,,,
DT412,Tourism Marketing ,284 ,322,,,,,,,
DT413,Event Management ,356 ,389,,,,,,,
DT416,Culinary Entrepreneurship ,275 ,339,,,,,,,
DT420,Nutraceuticals in Health and Nutrition ,392 ,432,,,,,,,
DT421,Food Innovation ,321 ,366,,,,,,,
DT422,Pharmaceutical Healthcare ,397 ,423,,,,,,,
DT491,Environmental Health ,343 ,380,,,,,,,
DT501,Music ,#383 ,520,,,,,,,
DT504,Film and Broadcasting ,443 ,467,,,,,,,
DT506,Commercial Modern Music ,#468 ,835,,,,,,,
DT508,Game Design ,403 ,454,,,,,,,
DT517,Languages and English Studies ,326 ,419,,,,,,,
DT518,Languages and International Tourism ,307 ,357,,,,,,,
DT529,Drama (Performance) ,#371 ,519,,,,,,,
DT532,Law (LL.B.) ,422 ,441,,,,,,,
DT533,Contemporary Visual Culture ,#,,,,,,,,
DT544,Interior Design ,#552 ,866,,,,,,,
DT545,Design - Visual Communication ,#667 ,897,,,,,,,
DT546,Fine Art ,#668 ,813,,,,,,,
DT555,International Business and Languages ,353 ,399,,,,,,,
DT559,Photography ,#700 ,926,,,,,,,
DT571,Social Care ,394 ,424,,,,,,,
DT572,Early Childhood Education ,385 ,403,,,,,,,
DT582,Journalism ,347 ,373,,,,,,,
DT596,Print Media Technology and Management ,252 ,311,,,,,,,
DT597,Creative and Cultural Industries ,280 ,369,,,,,,,
DL835,Creative Media Technologies ,237 ,289,,,,,,,
GC405,International Hospitality Management (Dublin) ,254 ,272,,,,,,,
ID003,Business Studies with Chinese,,,,,,,,,
BN101,Business ,252 ,289,,,,,,,
BN103,Business and Information Technology ,254 ,290,,,,,,,
BN104,Computing (Information Technology) ,260 ,293,,,,,,,
BN107,Applied Social Studies in Social Care ,300 ,328,,,,,,,
BN108,Engineering (Common Entry with Award options) ,271 ,318,,,,,,,
BN109,Business (Common Entry with Award options) ,260 ,279,,,,,,,
BN110,International Business ,253 ,308,,,,,,,
BN111,Sports Management and Coaching ,270 ,298,,,,,,,
BN112,Creative Digital Media ,280 ,329,,,,,,,
BN113,Horticulture ,289 ,321,,,,,,,
BN114,Accounting and Finance ,280 ,332,,,,,,,
BN115,Community and Youth Development ,250 ,298,,,,,,,
BN117,Computer Engineering in Mobile Systems ,273 ,311,,,,,,,
BN118,Early Childhood Care and Education ,290 ,320,,,,,,,
BN119,Digital Marketing ,270 ,308,,,,,,,
BN120,Digital Forensics and Cyber Security ,281 ,326,,,,,,,
BN121,Mechatronic Engineering ,276 ,340,,,,,,,
BN123,"Design,Technology and Innovation ",297 ,318,,,,,,,
TA022,Creative Digital Media ,260 ,318,,,,,,,
TA023,Advertising and Marketing Communications ,235 ,299,,,,,,,
TA024,Early Childhood Care and Education ,217 ,307,,,,,,,
TA025,Social Care Practice ,261 ,297,,,,,,,
TA026,International Hospitality and Tourism Management ,208 ,269,,,,,,,
TA027,Botanical Cuisine ,236 ,273,,,,,,,
TA028,Digital Marketing Technologies ,220 ,313,,,,,,,
TA121,Accounting and Finance ,202 ,328,,,,,,,
TA122,Management ,218 ,297,,,,,,,
TA123,Marketing Management ,207 ,284,,,,,,,
TA125,International Business ,229 ,300,,,,,,,
TA221,Electronic Engineering ,251 ,321,,,,,,,
TA222,Mechanical Engineering ,243 ,302,,,,,,,
TA223,Sustainable Energy Engineering ,236 ,305,,,,,,,
TA224,Biomedical Design ,218 ,324,,,,,,,
TA225,Automation Engineering ,235 ,288,,,,,,,
TA226,Engineering Software ,243 ,304,,,,,,,
TA321,Pharmaceutical Science ,261 ,298,,,,,,,
TA322,Computing ,200 ,294,,,,,,,
TA323,Computing with IT Management ,243 ,309,,,,,,,
TA326,DNA and Forensic Analysis ,300 ,362,,,,,,,
TA327,Sports Science and Health ,341 ,381,,,,,,,
TA328,Computing with Language (French/German/Spanish) ,218 ,317,,,,,,,
TA329,Computing with Data Analytics ,218 ,296,,,,,,,
NC025,Data Science ,297 ,371,,,,,,,
GA385,Retail Management ,219 ,319,,,,,,,
LY218,Business - with Spanish/Irish options ,298 ,367,,,,,,,
CI101,Counselling and Psychotherapy (Limerick) ,276 ,328,,,,,,,
LC411,Marketing and Management (Thurles) ,226 ,300,,,,,,,
SG149,Business in Finance and Investment ,262 ,357,,,,,,,
SG441,Environmental Science ,297 ,358,,,,,,,
SG446,Applied Archaeology ,289 ,290,,,,,,,
TL803,Music Technology ,264 ,288,,,,,,,
TL812,Computing with Digital Media ,369 ,369,,,,,,,
WD148,Tourism Marketing ,269 ,338,,,,,,,
