code,course_title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
DN450,General Nursing,,,429,424,*,,,462*,
DN451,Children`s and General Nursing (Integrated),,,509,506,,,,533,
DN452,Midwifery,,,489,476,,,,510,509*
DN453,Mental Health Nursing,,,397,393,,,,442,
DN520,Joint Honours (options),,,310,,,,,381,378
DN530,Humanities (options),,,340,336,,,,397,388
DN541,Modern Languages (options),,,303,,,,,320,
DN600,Law (options),,,546,544,,,,576,567*
DN610,Business and Law,,,545,,,,,573,567
DN650,Commerce,,,521,521,*,*,,555,
DN660,Commerce International (options),,,517,511,,,,555,554*
DN670,Economics and Finance,,,613,,,,,625*,625
DN700,Social Sciences (options),,,421,419,,,,475,474
DN710,Economics,,,498,498,*,*,,534,532*
DN720,Psychology,,,530,522,,*,,566,564
DN750,Social Policy and Sociology,,,378,,,,,421,
DK810,Accounting and Finance,,,305,305,,,,307,307
DK816,Business Studies,,,300,300,,,,301,301
DK820,Computing in Games Development,,,311,311,,,,309,309
DK821,Computing in Software Development,,,302,302,,,,320,316
DK822,Augmented and Virtual Reality,,,307,,,,,320,320
DK830,Building Surveying,,,336,,,,,305,
DK831,Architectural Technology,,,389,,,,,368,314
DK832,Construction Management,,,387,,,,,358,305
DK843,Engineering (Common Entry),,,340,340,,,,404,391
DK844,Mechanical Engineering,,,305,305,,,,336,336
DK845,Electrical and Electronic Engineering,,,304,304,,,,331,331
DK846,Civil Engineering,,,391,361,,,,371,371
DK850,International Tourism Management,,,317,317,,,,303,303
DK861,Arts,,,302,302,,,,302,302
DK862,Social Care,,,301,,,,,322,319
DK863,Creative Media,,,308,308,,,,336,320
DK864,Film and Television Production,,,300,300,,,,308,
DK865,Audio and Music Production,,,301,,,,,352,
DK870,General Nursing,,,403,401,,,,440*,440*
DK872,Intellectual Disability Nursing,,,336,,,,,367,366
DK874,Mental Health Nursing,,,356,,,,,398,
DK876,Early Childhood Studies,,,321,,,,,300,
DK877,Midwifery,,,440,,,,,482,477
DK880,Health and Physical Activity,,,328,,,,,301,
DK882,Agriculture (Award options),,,310,,,,,342,
DK883,Science (Award options),,,358,321,,,,373,368
DK884,Sustainable Agriculture,,,,,,,,348,
DK885,Agri-Food Production,,,,,,,,,
DK886,Biopharmaceutical Science,,,301,,,,,379,
DK887,Environmental Science,,,330,,,,,377,
GA181,Accounting,,,309,,,,,303,
GA182,Business,,,287,,,,,285,
GA183,Business Information Systems,,,296,,,,,298,
GA184,Marketing and Sales,,,307,,,,,300,
GA185,Finance and Economics,,,293,,,,,318,
GA186,Business with Entrepreneurship,,,280,,,,,287,
GA187,Rural Enterprise and Agri-Business,,,281,,,,,291,
GA281,Film and Documentary,,,304,,,,,310,301
GA282,Heritage Studies,,,220,,,,,252,
GA283,Contemporary Art (portfolio),,,679,,,,#,#790,
GA284,Design,,,303,,,,,331,
GA285,Education (Art  Design and Graphics),,,,,,,,406,
GA380,International Hotel Management,,,242,,,,,218,
GA381,International Tourism Management,,,278,,,,,252,
GA382,Culinary and Gastronomic Science,,,206,,,,,235,
GA384,Event Management with Public Relations,,,212,,,,,230,
GA480,Construction Management,,,260,,,,,302,
GA482,Quantity Surveying and Construction Economics,,,288,,,,,304,
GA483,Architectural Technology,,,265,,,,,281,273
GA484,Civil Engineering,,,290,,,,,377,
GA580,Software and Electronic Engineering,,,300,,,,,300,
GA680,Mechanical Engineering,,,330,,,,,400,
GA681,Energy Engineering,,,293,,,,,312,
GA682,Biomedical Engineering,,,313,,,,,331,
GA683,Agricultural Engineering,,,309,,,,,304,
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,,,340,,,,,413,
GA685,Manufacturing Engineering Design,,,309,,,,,336,
GA780,Applied Freshwater and Marine Biology,,,327,,,,,366,
GA781,Applied Biology and Biopharmaceutical Science,,,337,,,,,381,
GA782,Chemical and Pharmaceutical Science,,,336,,,,,356,
GA783,Physics and Instrumentation,,,363,,,,,301,
GA784,Science (Undenominated),,,372,,,,,445,
GA785,Medical Science,,,473,,,,,517,510
GA786,Forensic Science and Analysis,,,317,,,,,408,
GA787,Computing in Software Development,,,270,,,,,310,
GA788,Computing and Digital Media,,,274,,,,,270,
GA789,Agriculture and Environmental Management,,,287,,,,,340,
GA790,Sport and Exercise Science,,,356,,,,,376,366
GA791,Public Health Nutrition,,,368,,,,,368,
GA880,General Nursing,,,429,422,*,*,,440*,
GA882,Psychiatric Nursing,,,367,,,,,369,
GA885,Outdoor Education,,,252,,,,,269,
GA887,History and Geography,,,244,,,,,201,
GA889,Applied Social Care,,,266,,,,,265,
GA890,Early Childhood Education and Care,,,270,,,,,281,227
GA891,Geography and Outdoor Education,,,244,,,,,261,
GA892,Community Development and Youth Work (Level 8),,,,,,,,,
GA980,Education (Design Graphics and Construction),,,377,,,,,410,
GA981,Furniture Design and Manufacture,,,,,,,,346,
GA982,Furniture Making and Architectural Woodworking,,,,,,,,360,
GA983,Furniture and Digital Manufacturing,,,,,,,,,
GA984,Furniture Design  Making and Technology - Common E,,,284,,,,,486,467
GY101,Arts (Joint-Honours),,,300,,,,,327,326
GY104,BSc (Psychology),,,523,520,,,,564,555
GY105,Arts (History),,,301,,,,,357,
GY109,Arts (Mathematics and Education),,,403,,,,,413,
GY110,Arts (Children and Youth Studies - options),,,357,,,,,387,
GY111,Arts (English and Creative Writing),,,330,,,,,421,420
GY113,Arts with Human Rights,,,368,,,,,413,
GY115,Arts with Performing Arts Studies,,,387,,,,,300,
GY118,Arts (Drama  Theatre and Performance Studies),,,451,,,,,453,430
GY119,Arts (Journalism),,,400,,,,,484,473
GY122,Na Dána (Cumarsáid agus Gaeilge),,,361,,,,,410,
GY123,Applied Social Sciences,,,358,,,,,419,
GY125,Arts (Digital Arts and Technology),,,328,,,,,403,
GY127,Arts (Film and Digital Media),,,401,,,,,430,421
GY128,Arts (Global Languages),,,352,,,,,346,
GY129,Arts (Global Experience),,,420,,,,,465,
GY130,Arts (Music),,,408,,,,,462,
GY132,Government (Politics  Economics and Law),,,407,,,,,465,451
GY133,Education (Computer Science and Mathematical Studi,,,422,,,,,454,
GY134,Geography and Geosystems,,,410,,,,,425,
GY135,Arts (Global Media),,,,,,,,442,
GY136,Na Dána (Léann Teanga - options),,,,,,,,526,
GY201,Commerce,,,433,,,,,476,
GY202,Commerce (International) with French,,,484,,,,,520,
GY203,Commerce (International) with German,,,489,,,,,518,
GY204,Commerce (International) with Spanish,,,495,,,,,506,
GY206,Business Information Systems (Work Placement and O,,,465,,,,,509,
GY207,Commerce (Accounting) including optional Global Ex,,,509,,,,,543,
GY208,Commerce (Gaeilge),,,473,,,,,508,
GY209,Commerce (Global Experience),,,530,,,,,551,
GY250,Law and Business,,,487,,,,,510,
GY251,Law (BCL),,,499,,,,,542,
GY252,Law (BCL) and Human Rights,,,520,,,,,565,
GY253,Law and Taxation,,,509,,,,,506,
GY254,Law (BCL)  Criminology and Criminal Justice,,,530,,,,,548,
GY261,Business Studies in International Hotel Management,,,497,,,,#,#503,
GY262,Commerce in International Hotel Management (interv,,,681,,,,#,#709,
GY301,Science,,,433,432,,,,489,488
GY303,Biomedical Science,,,556,,,,,613,
GY304,Biotechnology,,,465,,,,,498,495
GY308,Environmental Science,,,408,,,,,431,430
GY309,Financial Mathematics and Economics,,,487,,,,,509,
GY310,Marine Science,,,419,,,,,467,
GY313,Environmental Health and Safety,,,412,,,,,412,
GY314,Earth and Ocean Sciences,,,403,,,,,422,
GY318,Biopharmaceutical Chemistry,,,509,,,,,555,
GY319,Mathematical Science,,,476,,,,,543,
GY320,Physics (Degree options: Applied Astrophysics Biom,,,402,,,,,465,
GY321,Genetics and Genomics,,,508,,,,,532,
GY322,Agricultural Sciences,,,,,,,,485,
GY350,Computer Science and Information Technology,,,403,,,,,495,
GY401,Engineering (Undenominated),,,465,,,,,522,520
GY402,Civil Engineering,,,455,,,,,533,521
GY405,Mechanical Engineering,,,454,,,,,541,
GY406,Electronic and Computer Engineering,,,510,,,,,555,
GY408,Biomedical Engineering,,,509,,,,,554,
GY410,Project and Construction Management,,,403,,,,,431,
GY413,Energy Systems Engineering,,,502,,,,,509,
GY414,Electrical and Electronic Engineering,,,405,,,,,433,
GY501,Medicine (five year/six year course  HPAT required,,,728,,*,,#,#737*,#737*
GY502,Occupational Therapy,,,555,,,,,601,
GY503,Speech and Language Therapy,,,543,,,,,578,
GY504,Podiatric Medicine,,,443,,,,,531,526
GY515,General Nursing (Galway and Portiuncula),,,476,473,,,,502,496
GY516,Mental Health Nursing,,,440,,,,,475,441
GY517,Midwifery,,,495,,,,,520,509
LY108,Business - Accounting,,,309,,,,,312,
LY118,Business,,,290,,,,,288,
LY128,Marketing with Online Technologies,,,,,,,,261,261
LY208,Law,,,300,,,,,300,290
LY228,Sports and Exercise - Common Entry,,,300,,,,,290,
LY408,Design - Common Entry,,,320,,,,#,#301,
LY508,Fire Safety Engineering,,,276,,,,,283,
LY518,Quantity Surveying,,,301,,,,,304,
LY528,Construction Management,,,271,,,,,262,
LY538,Architectural Technology,,,,,,,,234,234
LY608,Mechanical Engineering,,,300,,,,,300,
LY618,Electronic Engineering,,,312,,,,,321,
LY708,Applied Computing,,,306,,,,,320,
LY748,Computer Science,,,317,317,,,,316,
LY818,Science - Common Entry,,,303,,,,,302,
LY828,Agriculture - Common Entry,,,307,,,,,308,300
LY908,General Nursing,,,400,,*,,,429*,
LY918,Psychiatric Nursing,,,357,,*,,,367*,
LY928,Intellectual Disability Nursing,,,326,,*,,,357,
LY968,Early Childhood Care  Health and Education,,,303,,,,,288,
LY978,Health and Social Care - Common Entry,,,280,,,,,279,
MI001,Contemporary and Applied Theatre Studies,,,375,,,,,209,
MI002,Arts,,,300,281,,,,280,
MI004,Education - Primary Teaching - International,,,577,,,,,589,
MI005,Education - Primary Teaching,,,495,,,,,522,
MI006,Education - Primary Teaching - Gaeltacht Applicant,,,456,,,,#,#485,
MI007,Early Childhood Care and Education,,,357,,,,,409,
MI008,Education and Psychology - Primary Teaching,,,588,,,,,590,
MI009,Education  Business Studies and Accounting,,,402,,,,,434,
MI010,Education  Business Studies and Religious Studies,,,368,,,,,370,
MI011,Education  Gaeilge and Religious Studies,,,409,,,,,407,
MI012,Education  Gaeilge and Business Studies,,,401,,,,,387,
MI013,Education  Mathematics and Gaeilge,,,444,,,,,509,
MI014,Education  Mathematics and Business Studies,,,434,,,,,476,
CI110,Counselling and Psychotherapy,,,310,,,,,292,
CI111,Counselling and Psychotherapy with Addiction Studi,,,301,,,,,290,
CI112,Counselling and Psychotherapy with Youth Studies,,,311,,,,,325,
LC110,Art and Design (Common Entry  portfolio),,,740,,,,#,#794,
LC114,Fashion and Textiles for Product and Costume (port,,,880,,,,#,#914,
LC115,Art and Design Teacher Education (LIT and UL  port,,,942,,,,#,#993,
LC220,Digital Marketing,,,262,,,,,263,
LC223,Law and Taxation,,,307,,,,,331,
LC224,Accounting and Finance,,,300,,,,,300,
LC225,Marketing and Management,,,298,,,,,298,
LC226,Enterprise and Innovation,,,234,234,,,,255,
LC233,Software Development,,,272,,,,,280,
LC234,Immersive Digital Media and Spatial Computing,,,225,,,,,226,
LC236,Internet Systems Development,,,262,260,,,,260,
LC239,Computer Networks and Systems Management,,,307,,,,,317,
LC241,Construction Management,,,255,,,,,326,
LC242,Property Valuation and Management,,,282,,,,,308,
LC243,Quantity Surveying,,,294,,,,,278,
LC248,Built Environment (Common Entry),,,288,,,,,300,
LC252,Civil Engineering Management,,,270,,,,,264,
LC263,Medical Technology,,,294,,,,,391,
LC265,Forensic and Pharmaceutical Sciences,,,413,,,,,498,
LC266,Drug and Medicinal Product Analysis,,,262,,,,,252,
LC275,Electrical Engineering,,,298,,,,,361,347
LC288,Mechanical Engineering,,,347,346,,,,378,369
LC289,Precision Engineering,,,291,,,,,261,
LC292,Social Care Work,,,367,,,,,374,
LC293,Business Studies with Travel and Tourism Managemen,,,307,,,,,271,264
LC294,Business Studies with Event Management,,,279,,,,,279,
LC295,Business Studies with Sports Management,,,252,,,,,262,
LC297,Community and Addiction Studies,,,235,,,,,272,262
LC320,Business,,,346,,,,,381,
LC330,Business with Computing,,,297,,,,,328,308
LC340,Interior Design,,,350,,,,,391,368
LC362,Biotechnology and Biopharmaceutical Sciences,,,413,,,,,429,
LC371,Creative Broadcast and Film Production,,,309,,,,,325,310
LC372,Music Technology and Production,,,325,,,,,377,
LC374,Renewable and Electrical Energy Engineering,,,318,,,,,337,319
LC375,Industrial Automation and Robotic Systems,,,317,,,,,309,
LC376,Electronic Engineering with Computer Systems,,,318,,,,,357,
LC380,Automotive Engineering and Transport Management,,,303,298,,,,298,
LC392,Business Studies in Beauty and Spa Management,,,236,,,,,328,317
LC393,Early Childhood Education and Care,,,236,,,,,309,276
LC402,Social Care Work,,,225,,,,,228,
LC408,Environmental Science and Climate,,,279,,,,,279,
LC416,Business,,,274,,,,,260,
LC418,Computing - Games Design and Development,,,270,,,,,260,256
LC422,Applied Strength and Conditioning,,,298,,,,,289,
LC502,Game Art and Design (portfolio),,,852,,,,#,#841,
LC517,Creative Media and Design,,,234,,,,,279,
LC518,Digital Animation Production (portfolio),,,808,,,,#,#807,
LC612,Social Care Work,,,320,,,,,309,
LM002,Arts,,,348,,,,,360*,360
LM019,Social Sciences,,,,,,,,451,
LM020,Law and Accounting,,,465,,,,,474,
LM026,Performing Arts (audition format TBC),,,303,,,,#,#329,
LM028,Criminal Justice,,,418,,,,,420,
LM029,Law Plus,,,490,,,,,530,
LM038,Psychology and Sociology,,,500,,,,,530,
LM039,Journalism and Digital Communication,,,402,,,,,432,
LM040,European Studies,,,369,,,,,409,
LM044,Applied Languages,,,442,,,,,429,
LM050,Business Studies (options),,,431,,,,,451,
LM056,International Business,,,528,,,,,555*,
LM058,Financial Mathematics,,,403,,,,,468,
LM063,Technology Management,,,379,,,,,410,
LM066,Environmental Science,,,,,,,,430,
LM068,Food Science and Health,,,421,,,,,464*,
LM076,Product Design and Technology (portfolio required),,,408,,,,#,#401,
LM077,Aeronautical Engineering,,,520,,,,,567,
LM082,Construction Management and Engineering,,,398,,,,,446*,
LM089,Sport and Exercise Sciences,,,474,,,,,498*,
LM090,Physical Education with concurrent Teacher Educati,,,532,,*,,,552,544*
LM091,Languages with concurrent Teacher Education,,,517,,,,,506,
LM092,Science with Teacher Ed (Biology with Physics/Chem,,,507,,,,,521,
LM093,Equine Science,,,339,,,,,367,
LM094,Materials and Architectural Technology with concur,,,440,,,,,475,
LM095,Materials and Engineering Technology with concurre,,,367,,,,,425,
LM096,Science with Teacher Ed (Physical Sciences with Ch,,,405,,,,,454,
LM097,Mathematics and Computer Science with concurrent T,,,402,,,,,465,
LM099,Architecture,,,498,,,,#,520,
LM100,Physiotherapy,,,589,,*,,,613*,
LM101,Medicine  - Graduate Entry (GAMSAT required),,,55,,*,,#,#57*,
LM102,Psychology,,,509,,,,,534,
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,,,392,,,,#,#429,
LM105,Exercise and Health Fitness Management,,,,,,,,441,
LM115,Chemical and Biochemical Engineering,,,454,,,,,476,
LM116,Engineering (Biomedical/Civil/Design and Manufactu,,,476,,*,,,498*,
LM118,Electronic and Computer Engineering,,,403,,,,,445,
LM121,Computer Science (Computer Systems/Games Dev/Cyber,,,351,,,,,402,
LM122,Creative Media and Interaction Design (Digital Des,,,327,,,,,382,
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,,,441,,*,,,498*,
LM124,Mathematics (Math Science/Maths and Physics/Econom,,,437,,,,,455,
LM125,Physics (Applied Physics or Mathematics and Physic,,,404,,,,,489,
LM150,General Nursing,,,475,,*,,,498*,487
LM152,Mental Health Nursing,,,419,,*,,,478,466
LM154,Intellectual Disability Nursing,,,420,,,,,462,443
LM156,Midwifery,,,469,,,,,521*,508
MU001,Theology and Arts,,,290,290,,,,294,294
MU002,Theology,,,440,,,,,,
MH001,Education - Primary Teaching (Froebel),,,507,,,,,564,
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,,,,#,,
MH003,Early Childhood - Teaching and Learning (full-time,,,,,,,,381,
MH101,Arts,,,318,,,,,338,336
MH103,Music,,,#,,,,#,#,
MH106,Psychology - 3 years,,,521,,,,,554,
MH107,Social Science,,,346,,,,,390,
MH109,Media Studies,,,316,,,,,324,
MH116,Community and Youth Work (Full-Time),,,#,,,,#,#,
MH201,Science,,,360,,,,,401,400
MH202,Biotechnology,,,455,,,,,490,489
MH203,Biological and Geographical Sciences,,,430,,,,,451,
MH204,Physics with Astrophysics,,,422,,,,,422,
MH206,Theoretical Physics and Mathematics,,,510,,,,,521,
MH207,Data Science,,,445,,,,,444,
MH208,Biological and Biomedical Sciences,,,498,,,,,543,
MH209,Psychology (through Science) - 4 years,,,498,,,,,529,
MH210,Pharmaceutical and Biomedical Chemistry,,,487,,,,,510,
MH212,Science|Maths and Computer Science|Mathematics (wi,,,422,,,,,452,443
MH304,Engineering (Computer/Electronic/Communications),,,333,333,,,,351,351
MH305,Product Design,,,357,,,,,326,
MH306,Robotics and Intelligent Devices,,,361,,,,,362,
MH401,Finance (options),,,357,,,,,370,
MH402,Quantitative Finance,,,476,,,,,476,
MH403,Accounting and Finance,,,422,,,,,424,
MH404,Business (options),,,430,,,,,441,
MH407,Business and Accounting,,,420,,,,,423,
MH411,Entrepreneurship,,,371,,,,,378,
MH501,LLB Law - four year Single Major Law programme,,,473,,,,,507,
MH502,Law (options),,,451,,,,,465,
MH601,Computer Science through Arts (options),,,352,,,,,381,
MH602,Computer Science through Science (options),,,351,,,,,400,
MH603,Computational Thinking,,,532,,,,,520,
MH801,Early Childhood - Teaching and Learning (part-time,,,327,,,,,AQA,AQA
MH802,Community and Youth Work (part-time  in service),,,#,#,,,#,,#
MH803,Local Studies/Community Studies (part-time  evenin,,,#,#,,,#,,#
AS001,Education  Home Economics and Biology - with concu,,,510,,,,,542,533
AS002,Education  Home Economics and Religious Ed - with,,,441,434,*,*,,464,452*
AS003,Education  Home Economics and Irish - with concurr,,,440,440,*,,,463*,457
AS051,Nutrition  Food and Business Management,,,328,317,,,,378,347
AS054,Home Economics,,,408,398,,,,440*,419*
AS110,General Nursing,,,419,,*,,,440*,432
AS130,Intellectual Disability Nursing,,,336,328,*,,,387,358
SG141,Business,,,261,,,,,262,
SG145,Business and ICT,,,,,,,,279,
SG146,Accounting,,,309,,,,,304,
SG147,Sport with Business,,,307,,,,,288,
SG148,Tourism with Event Management,,,269,,,,,298,
SG150,Business in Marketing,,,,,,,,298,
SG241,Performing Arts,,,328,,,,,341,
SG242,Early Childhood Care and Education,,,279,,,,,287,
SG243,Social Care Practice,,,301,,,,,309,
SG244,Fine Art,,,505,,,,#,#501,
SG245,Creative Design,,,282,,,,,332,
SG246,Computing,,,290,,,,,316,
SG247,English and Psychology,,,309,,,,,319,
SG248,Sociology and Politics,,,281,,,,,298,
SG249,Writing and Literature,,,297,,,,,308,
SG252,Software Development,,,307,,,,,310,
SG253,Computing in Computer Networks and Cyber Security,,,324,,,,,336,
SG254,Writing and Literature Online,,,225,225,,,,327,
SG255,Law and Business,,,,,,,,291,
SG341,General Engineering,,,,,,,,373,
SG342,Civil Engineering,,,415,,,,,418,
SG343,Quantity Surveying,,,311,,,,,300,
SG344,Mechanical Engineering,,,,,,,,412,
SG346,Construction Project Management and Applied Techno,,,291,,,,,313,
SG347,Architecture,,,360,,,,,403,
SG348,Interior Architecture and Design,,,316,,,,,359,
SG349,Electronics and Self Driving Technologies,,,,,,,,,
SG350,Robotics and Automation,,,,,,,,384,
SG442,Occupational Safety and Health,,,290,,,,,307,
SG443,Human Nutrition,,,356,,,,,376,
SG444,Science Undenominated,,,338,,,,,358,
SG445,Pharmaceutical Science with Drug Development,,,311,,,,,357,
SG447,Health Science and Physical Activity,,,328,,,,,326,
SG448,Forensic Investigation and Analysis,,,306,,,,,308,
SG449,Medical Biotechnology,,,341,,,,,315,
SG450,Environmental Science with Ecology (Level 8),,,300,,,,,310,
TL801,Animation  Visual Effects and Motion Design (Level,,,281,,,,,#718,
TL802,TV  Radio and New Media (Level 8),,,325,,,,,322,
TL810,Computing with Software Development,,,310,,,,,308,
TL811,Computing with Games Development,,,358,,,,,322,
TL815,Computing (Degree Award options),,,308,,,,,307,
TL823,Event Management (3 year programme),,,299,,,,,293,
TL831,Business Studies (Major Specialism in: Acctng or M,,,306,,,,,306,
TL842,Construction Management,,,,,,,,,
TL844,Agricultural Engineering,,,300,,,,,301,
TL845,Civil Engineering,,,325,,,,,361,
TL847,Manufacturing Engineering,,,302,,,,,305,
TL848,Agricultural Science,,,308,,,,,307,
TL851,Wildlife Biology (Degree Award options),,,309,,,,,309,
TL855,Pharmaceutical Science (Degree Award options),,,317,,,,,316,
TL858,Veterinary Bioscience,,,308,,,,,317,
TL871,Health and Leisure (Degree Award options),,,300,,,,,303,
TL872,Health and Leisure with Massage,,,309,,,,,314,
TL873,Coaching and Sports Performance,,,289,,,,,308,
TL874,Inclusive Sport and Physical Activity,,,,,,,,341,
TL880,Early Childhood Care and Education,,,307,,,,,309,
TL881,Social Care,,,308,,,,,301,
TL889,Counselling with Addiction - Mature applicants onl,,,,,,,#,,
TL890,General Nursing and Mature Applicants,,,440,414,*,,,463,
TL891,Mental Health Nursing and Mature Applicants,,,389,378,,,,440,419
WD001,Applied Computing (options),,,260,260,,,,270,261
WD002,Science (options),,,308,,,,,279,
WD005,Health Sciences (options),,,280,,,,,271,
WD006,Exercise Sciences (options),,,280,,,,,270,
WD007,Engineering (options),,,288,288,,,,270,270
WD025,Construction Management and Engineering,,,269,,,,,262,
WD027,Music,,,262,,,,#,#321,
WD048,Business (options),,,271,,,,,279,
WD084,Accounting,,,308,,,,,308,
WD091,Hospitality Management,,,228,,,,,225,
WD116,General Nursing,,,422,,,,,446,
WD117,Psychiatric Nursing,,,366,,,,,415,
WD120,Intellectual Disability Nursing,,,377,,,,,390,
WD134,International Business,,,290,,,,,267,
WD137,Design (Visual Communications),,,271,,,,,252,
WD140,Laws,,,280,,,,,280,
WD144,Architecture,,,284,,,,,309,
WD147,Pharmaceutical Science,,,293,,,,,288,
WD150,Criminal Justice Studies,,,270,,,,,280,
WD152,Visual Art,,,AQA,,,,,243,
WD161,Computer Forensics and Security,,,255,,,,,270,
WD162,Quantity Surveying,,,216,,,,,226,
WD163,Psychology,,,434,,,,,456,
WD186,Sports Coaching and Performance,,,270,,,,,261,
WD187,Social Science,,,272,,,,,276,
WD191,Agricultural Science,,,377,,,,,377,
WD192,Social Care Practice,,,270,,,,,271,
WD193,Marketing and Digital Media,,,271,,,,,279,
WD194,Culinary Arts,,,217,,,,,237,
WD195,Architectural and Building Information Modelling T,,,279,,,,,279,
WD200,Arts (options),,,AQA,AQA,,,,201,201
WD210,Software Systems Development,,,279,,,,,260,
WD211,Creative Computing,,,271,,,,,270,
WD212,Recreation and Sport Management,,,270,,,,,262,
WD230,Mechanical and Manufacturing Engineering,,,253,,,,,230,230
WD231,Early Childhood Care and Education,,,,,,,,266,
WD232,Business Information Systems,,,,,,,,261,261
CR126,Popular Music: Drums at CIT Cork School of Music,,,801,,,,#,,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,838,768,,,#,,
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,840,,,,#,,
CR129,Popular Music: Voice at CIT Cork School of Music,,,841,,,,#,,
DB516,Financial Services,,,,,,,,,
DC201,Common Entry into Science (Undenominated Entry),,,498,488,*,,,,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,,,,,,
DK860,Music (audition),,,532,532,,,#,,
DL821,"English, Media and Cultural Studies",,,212,212,,,,,
DL828,"3D Design, Modelmaking and Digital Art",,,506,,,,#,,
DL829,Design for Stage and Screen (Costume Design),,,593,,,,#,,
DL830,Design for Stage and Screen (Character Makeup Design),,,939,,,,#,,
DL831,Design for Stage and Screen (Production Design),,,781,,,,#,,
DL834,Film and Television Production,,,990,,,,#,,
DN252,Dairy Business,,,410,,,,,,
DN253,Agri - Environmental Sciences,,,418,,,,,,
DN271,Forestry,,,311,,,,,,
DN272,"Horticulture, Landscape and Sportsturf Management",,,297,282,,,,,
GC250,Communications and Media Production,,,,,,,,,
GC305,International Hospitality Management,,,253,253,,,,,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,409,,,,,,
GY112,Arts with Film Studies,,,321,,,,,,
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,350,,,,,,
GY121,Arts (Children`s Studies),,,356,,,,,,
GY124,Arts (Arts with Data Science),,,454,,,,,,
GY126,Arts (English and Media Studies),,,391,,,,,,
GY131,Arts (History and Globalisation Studies),,,360,,,,,,
LC401,Early Childhood Education and Care,,,297,,,,,,
LC414,Data Analytics and Cyber Security,,,236,,,,,,
LC434,Environmental Science and Agriculture,,,297,,,,,,
LC613,Early Childhood Education and Care,,,242,,,,,,
MH405,Equine Business,,,357,,,,,,
SG142,Business in International Marketing and Languages (French),,,279,,,,,,
SG144,Business in International Marketing and Languages (Spanish),,,270,,,,,,
SG250,Application Design and User Experience,,,412,,,,,,
SG251,Computing (Smart Technologies),,,327,,,,,,
TR012,History and Political Science,,,555,554,,,,,
TR017,Law and Business,,,602,,,,,,
TR020,Law and Political Science,,,602,,,,,,
TR029,Political Science and Geography,,,526,520,,,,,
TR082,Computer Science and Business,,,555,,,,,,
TR083,Sociology and Social Policy,,,498,487,,,,,
TR111,Ancient History and Archaeology/Geography,,,352,,,,,,
TR112,Ancient History and Archaeology/History,,,529,,,,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,,,337,,,,,,
TR114,Ancient History and Archaeology/Modern Language,,,337,,,,,,
TR117,Ancient History and Archaeology/Religion,,,342,,,,,,
TR166,Classical Civilisation/English Literature,,,498,496,*,,,,
TR173,Classical Civilisation/History of Art and Architecture,,,335,,,,,,
TR177,Classical Civilisation/Modern Language,,,335,,,,,,
TR179,Classical Civilisation/Philosophy,,,499,,,,,,
TR198,Economics/Geography,,,534,,,,,,
TR202,Economics/History,,,534,,,,,,
TR207,Economics/Mathematics,,,566,,*,,,,
TR208,Economics/Modern Language,,,534,,,,,,
TR209,Economics/Philosophy,,,534,,,,,,
TR212,Economics/Sociology,,,534,,,,,,
TR228,Classical Languages/English Literature,,,498,,*,,,,
TR231,Classical Languages/History of Art and Architecture,,,349,,,,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349,,,,,,
TR239,Classical Languages/Modern Language,,,349,,,,,,
TR262,English Literature/History,,,529,,,,,,
TR263,English Literature/History of Art and Architecture,,,498,497,*,,,,
TR269,English Literature/Philosophy,,,499,,,,,,
TR272,English Literature/Sociology,,,498,,*,,,,
TR276,English Literature/Drama Studies,,,#498,,,,#,,
TR277,English Literature/Modern Language,,,498,495,*,,,,
TR311,Film/Drama Studies,,,#521,,*,,#,,
TR312,Film/English Literature,,,521,,*,,,,
TR320,Film/Music,,,521,,*,,#,,
TR322,Geography/History,,,529,,,,,,
TR323,Drama Studies/Modern Language,,,#473,,,,#,,
TR324,Film/Modern Language,,,521,,*,,,,
TR325,Film/History,,,529,,,,,,
TR326,Geography/Modern Language,,,352,,,,,,
TR332,Geography/Sociology,,,498,496,*,,,,
TR443,History/History of Art and Architecture,,,529,,,,,,
TR447,History/Modern Language,,,529,,,,,,
TR449,History/Philosophy,,,529,,,,,,
TR452,History/Sociology,,,529,,,,,,
TR454,History/Religion,,,529,,,,,,
TR455,History of Art and Architecture/Modern Language,,,334,,,,,,
TR479,History of Art and Architecture/Philosophy,,,499,,,,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337,,,,,,
